image_lastmod,region,population,descriptionFromReview,slug,short_slug,long_slug,users_count,users_count_est,users_count_been,users_count_been_est,boost,last_2_year_growth,image,name_chinese,name,country_chinese,air_quality_now,air_quality,latitude,longitude,country,country_code,country_slug,state_code,state_chinese,state,internet_speed,air_quality_score,air_quality_now_score,humidity,rank,weather_icon,weather_emoji,temperatureC,temperatureF,temperatureC_feels_like,temperatureF_feels_like,cost_for_nomad_in_usd,cost_for_expat_in_usd,cost_for_local_in_usd,cost_for_family_in_usd,total_score,overall_score,cost_score,internet_score,likes_score,safety_level
1705449619,Asia,5782000,"A dystopian cyberpunk metropolis, a veritable Night City, both chaotic and well run, livable yet poisonous. Follow the classic advice: stay near the BTS, skyscraper condo, work from mall libraries, cafes, and commons, don’t be outside. Outsource your chores. On a western salary or with savings, you’ll be playing life on easy mode. Focus your energy on meeting people, honing your body, and learning new skills. There’s a reason it’s number 1. You can disagree, but try to find it.",bangkok-thailand,bangkok,bangkok-thailand,73,14600,3242,648400,,254.51441181392232,"https://nomadlist.com/cdn-cgi/image/format=auto,fit=cover,width=600,height=300,quality=25/https://nomadlist.com/assets/img/places/bangkok-thailand.jpg?1705449619",曼谷,Bangkok,泰国,78,,13.7566968,100.5019493,Thailand,TH,thailand,,,,86,5,3.2885714285714287,0,1,wi-day-rain,🌧,-18,0,-24,-11,1416,1054,736,2576.252200201594,4.870997566800112,4.870997566800112,5,5,3.3000000000000003,4
1705536028,Latin America,3054300,"Just an update on the currency situation. Now, it seems  you get the dollar blue exchange rate by using a credit card, so as long as you have a credit card that doesn't charge fees, it will be as cheap if not cheaper than paying in cash for things. Changing money is no hassle if you use the cuevas, and have clean 100 dollar bills for the best exchange rate. I have been two weeks, and have been humbled by the kindness and openness of the people so far. I have not found them rude in any way, quite the opposite. As for speaking English, in reply to some reviewers here, why do you assume everywhere you go people should speak English, why should they? Some people speak English and others don't , but if you don't speak the local language, you can't get annoyed because they don't speak yours! Choose an English-speaking country or learn the local language would be my advice. ",buenos-aires-argentina,buenos-aires,buenos-aires-argentina,73,14600,1442,288400,,341.7763845350052,"https://nomadlist.com/cdn-cgi/image/format=auto,fit=cover,width=600,height=300,quality=25/https://nomadlist.com/assets/img/places/buenos-aires-argentina.jpg?1705536028",布宜诺斯艾利斯,Buenos Aires,阿根廷,55,,-34.6037232,-58.3815931,Argentina,AR,argentina,,,,75,5,4.314285714285715,74,2,wi-day-sunny,☀️,26,79.682,28,82,1550,886,493,1725.1874999999998,4.705114589356494,4.705114589356494,4.942857142857143,5,2.916666666666667,3
1705622423,Asia,1768000,"It's getting better. I came here just before the Chinese New Year, and the city was very lively. Lots of people, live music, etc. The decorations in the shopping mall were beautiful, and there were so many food options that it would take a year to try them all.",kuala-lumpur-malaysia,kuala-lumpur,kuala-lumpur-malaysia,36,7200,1546,309200,,931.7519858781994,"https://nomadlist.com/cdn-cgi/image/format=auto,fit=cover,width=600,height=300,quality=25/https://nomadlist.com/assets/img/places/kuala-lumpur-malaysia.jpg?1705622423",吉隆坡,Kuala Lumpur,马来西亚,63,,3.139003,101.686855,Malaysia,MY,malaysia,,,,96,5,4.131428571428572,74,3,wi-day-rain,🌧,31,86.954,39,102,1292,880,712,2490.812664907652,4.4678038051757225,4.4678038051757225,5,5,4.285714285714286,3.75
1705708826,Asia,13515271,"2nd time to Tokyo in 2 years. So much to see and do and great value in the past few years due to a declining yen against the USD & Euro. Wework (not open past 6pm & only iceberg open on weekends), Airalo Esim, and Wise Visa are your friend. Check out my Youtube for some nomad guides (Chicvoyage, @digitalnomadworld). I like Roppongi area. Stay in a hotel",tokyo-japan,tokyo,tokyo-japan,32,6400,1652,330400,,307.99706529713865,"https://nomadlist.com/cdn-cgi/image/format=auto,fit=cover,width=600,height=300,quality=25/https://nomadlist.com/assets/img/places/tokyo-japan.jpg?1705708826",东京,Tokyo,日本,22,,35.6894875,139.6917064,Japan,JP,japan,,,,57,5,5,54,4,wi-day-rain,🌧,11,51.45,10,50,2937,1938,1185,4146.452342900019,4.396289932735555,4.396289932735555,3.3577142857142857,3.9714285714285715,5,5
1709769611,Latin America,8918653,"Love it!  Don't expect them to speak English, that is NOT their native language. If you're going to go, learn some Spanish and respect their culture.  No gentrification in Mexico, please.",mexico-city-mexico,mexico-city,mexico-city-mexico,41,8200,1865,373000,,11.751681730015271,"https://nomadlist.com/cdn-cgi/image/format=auto,fit=cover,width=600,height=300,quality=25/https://nomadlist.com/assets/img/places/mexico-city-mexico.jpg?1709769611",墨西哥城,Mexico City,墨西哥,0,,19.4326077,-99.133208,Mexico,MX,mexico,,,,70,5,5,19,5,wi-day-sunny,☀️,24,76.052,24,75,2041,1310,970,3396.7168124966447,4.3733842045869284,4.3733842045869284,4.381714285714286,4.714285714285714,4.25,2
1709683208,Asia,13700,Agree with other reviewers about the influx of refugees and the increased prices. I'm there now and from my last visit a year ago prices have inflated significantly. There's also development everywhere now so the word is out.,ko-pha-ngan-thailand,ko-pha-ngan,ko-pha-ngan-thailand,18,3600,649,129800,,174.98513232233125,"https://nomadlist.com/cdn-cgi/image/format=auto,fit=cover,width=600,height=300,quality=25/https://nomadlist.com/assets/img/places/ko-pha-ngan-thailand.jpg?1709683208",閣帕岸島,Ko Pha Ngan,泰国,0,,9.6696025,99.9884922,Thailand,TH,thailand,,,,52,5,5,72,6,wi-day-sunny,☀️,28,83.044,31,88,1846,1209,729,2550.907830230179,4.23972037160516,4.23972037160516,4.604571428571428,3.6857142857142855,5,4.25
1705536076,Africa,433688,"I've been in Cape Town a month. The good: it's gorgeous, great hiking and scenery, wide variety of restaurants at affordable prices, lots of great cheap wine, walkable neighborhoods. The bones are there to make this an awesome place to live, and Cape Town knows it and has good nomad infrastructure (wi-fi, coworkings, etc.). That said, if you're looking to discover Africa, this ain't it. A lot of Cape Town's issues feel very American: inner-city homelessness, gentrification, yawning racial and socioeconomic inequality, car-centrism. Locals of all stripes are a bit standoffish. You will struggle to find a black person who is not a service worker in some trendy spots. If you're used to big US cities or places like Brazil you may not sweat the safety issues, and most violent crime is well away from the touristy areas, but you do really need to be careful. If you like the hipster-beach-city vibe of the US West Coast or Australia but can't afford it, Cape Town is for you. If you want to get a taste of an African city and not generic yuppie Anglosphere, Nairobi is a much better shout.",cape-town-south-africa,cape-town,cape-town-south-africa,25,5000,706,141200,,84.2403367776502,"https://nomadlist.com/cdn-cgi/image/format=auto,fit=cover,width=600,height=300,quality=25/https://nomadlist.com/assets/img/places/cape-town-south-africa.jpg?1705536076",开普敦,Cape Town,南非,34,,-33.9248685,18.4240553,South Africa,ZA,south-africa,,,,91,5,4.7942857142857145,73,7,wi-day-cloudy,🌥,18,64.636,18,64,2166,1380,697,2439.437549781669,4.2036962896050465,4.2036962896050465,4.238857142857143,5,4.5,1.25
1705622429,Asia,922611,"Hi guys, I live in south of Cebu since 2014.Subdivison in Carcar city. Find it safe  people are friendlier than me. I'm just causes. I'm 30km from CBD to the south. About an hour drive. If you interested to live in Carcar, check out Lamudi. There are properties for rent and sale. Camelia and Glenrose straight of south road, easy excess. Traffic is quite annoying even in Carcar, mostly because of slow drivers holding, or vehicles who constantly overtaking AGAINST TRAFFIC. Heaps of roadworks nowadays, they trying to improve. Oslob is near, many waterfalls further south. Peaceful. I wouldn't live in CBD. Have all in Carcar, from coffee shop to restaurants. Super metro, Gaisano, save more. They have all. ",cebu-philippines,cebu,cebu-philippines,7,1400,291,58200,,536.0215053763441,"https://nomadlist.com/cdn-cgi/image/format=auto,fit=cover,width=600,height=300,quality=25/https://nomadlist.com/assets/img/places/cebu-philippines.jpg?1705622429",宿雾,Cebu,菲律宾,0,,10.3156992,123.8854366,Philippines,PH,philippines,,,,32,5,5,70,8,wi-day-sunny,☀️,29,83.334,33,91,1378,799,551,1927.2880930764334,4.130640856981758,4.130640856981758,5,2.5428571428571427,5,3.5
1705449622,Asia,398169,"Chiang Mai has had a deep Buddhist influence running over the last 1,000 years and this can be felt in the helpfulness, patience and generosity of the Thai and long-term transplants you come across. The city has an active community scene (nomads, spiritual seekers, hikers, creatives), several mountains with hiking spots and waterfalls surrounding the city, over 20 water bodies inside the city -- many have cafes and walks around, several public parks, and over 13 national parks with campgrounds within a 2hr drive. New cafes / art spaces are opening up every other week. Also, many temples that disseminate Buddhist teachings and run mindfulness retreats near and around the city. The nervous system of Chiang Mai is a relaxing one - the city often feels as an open space without walls.  Burning season ( Feb - Apr) sees an AQI of 200+ and either requires you to stay indoors or travel elsewhere. May/June are on the hotter side, and July - Sep sees an average rainfall of an hour a day. Oct to Jan is a cool season with Dec to early Feb being the blooming season. While each season brings a different flavor with it, Chiang Mai is a paradise throughout excepting the burning season period.  Other notes: English proficiency of the local population is basic. Old city is walking friendly and has many quiet spots, Nimman is the westerner friendly spot and also sees high traffic, Pong Noi is more artsy / hippie.  ",chiang-mai-thailand,chiang-mai,chiang-mai-thailand,25,5000,2151,430200,,278.3771929824561,"https://nomadlist.com/cdn-cgi/image/format=auto,fit=cover,width=600,height=300,quality=25/https://nomadlist.com/assets/img/places/chiang-mai-thailand.jpg?1705449622",清迈,Chiang Mai,泰国,100,,18.7884898,98.9861476,Thailand,TH,thailand,,,,68,5,2.7857142857142856,26,9,wi-day-sunny,☀️,34,92.934,33,91,968,651,427,1493.3640600835859,4.115293247055039,4.115293247055039,5,4.6,4.5,4
1706054439,Asia,9806000,I only stayed for 3 weeks cause the life is kind of boring compared to Tokyo or Osaka. It helps a lot if you speak some korean since not many people speak english and most restaurants don't have english menu. The internet is fast but the public transportation is always crowded.,seoul-south-korea,seoul,seoul-south-korea,21,4200,1026,205200,,341.57608695652175,"https://nomadlist.com/cdn-cgi/image/format=auto,fit=cover,width=600,height=300,quality=25/https://nomadlist.com/assets/img/places/seoul-south-korea.jpg?1706054439",汉城,Seoul,韩国,114,,37.5509821,126.9903435,South Korea,KR,south-korea,,,,77,5,2.4657142857142857,43,10,wi-day-cloudy,🌥,15,59.546,15,59,2468,1411,1093,3827.166564405771,4.079272668488605,4.079272668488605,3.8937142857142857,5,4.545454545454545,4.75
